n1,r1,n2,r2,ratio
1024,16,2048,48,1.419697854
1024,16,2048,56,1.515547281
1024,16,2048,64,1.615444466
1024,20,2048,20,0.968808937
1024,20,2048,24,1.021906714
1024,20,2048,32,1.132310589
1024,20,2048,40,1.240243726
1024,20,2048,48,1.335382514
1024,20,2048,56,1.425539478
1024,20,2048,64,1.506056869
1024,24,2048,24,0.956634964
1024,24,2048,32,1.056470788
1024,24,2048,40,1.161548913
1024,24,2048,48,1.245571659
1024,24,2048,56,1.32982337
1024,24,2048,64,1.412285137
1024,32,2048,32,0.969302688
1024,32,2048,40,1.059291001
1024,32,2048,48,1.137306843
1024,32,2048,56,1.214090934
1024,32,2048,64,1.291447368
1024,40,2048,40,0.978538316
1024,40,2048,48,1.044640801
1024,40,2048,56,1.119348388
1024,40,2048,64,1.187245195
1024,48,2048,48,0.97493468
1024,48,2048,56,1.045088932
1024,48,2048,64,1.107652657
1024,56,2048,56,0.981679551
1024,56,2048,64,1.045706371
1024,64,2048,64,0.995325983
1024,5,4096,5,0.975073314
1024,5,4096,8,0.976906158
1024,5,4096,10,1.009817672
1024,5,4096,16,1.12421108
1024,5,4096,20,1.179435484
1024,5,4096,24,1.237143525
1024,5,4096,32,1.376351723
1024,5,4096,40,1.501099707
1024,5,4096,48,1.607862903
1024,5,4096,56,1.730794407
1024,5,4096,64,1.840290506
1024,8,4096,8,0.96036036
1024,8,4096,10,0.972972973
1024,8,4096,16,1.08360055
1024,8,4096,20,1.147747748
1024,8,4096,24,1.214994656
1024,8,4096,32,1.355588639
1024,8,4096,40,1.475675676
1024,8,4096,48,1.598182929
1024,8,4096,56,1.719111969
1024,8,4096,64,1.817736486
1024,10,4096,10,0.938494168
1024,10,4096,16,1.056773237
1024,10,4096,20,1.109756098
1024,10,4096,24,1.171939437
1024,10,4096,32,1.300177846
1024,10,4096,40,1.417682927
1024,10,4096,48,1.541423337
1024,10,4096,56,1.638796192
1024,10,4096,64,1.732813037
1024,16,4096,16,0.963443396
1024,16,4096,20,0.991352201
1024,16,4096,24,1.044271797
1024,16,4096,32,1.163227201
1024,16,4096,40,1.271226415
1024,16,4096,48,1.372949491
1024,16,4096,56,1.469552781
1024,16,4096,64,1.554999027
1024,20,4096,20,0.935851746
1024,20,4096,24,0.988283365
1024,20,4096,32,1.097490207
1024,20,4096,40,1.19709389
1024,20,4096,48,1.291410519
1024,20,4096,56,1.387429584
1024,20,4096,64,1.468763846
1024,24,4096,24,0.925724638
1024,24,4096,32,1.027853261
1024,24,4096,40,1.118301314
1024,24,4096,48,1.210835059
1024,24,4096,56,1.289693323
1024,24,4096,64,1.370711617
1024,32,4096,32,0.936112193
1024,32,4096,40,1.014413713
1024,32,4096,48,1.104088171
1024,32,4096,56,1.177182926
1024,32,4096,64,1.251655629
1024,40,4096,40,0.942331075
1024,40,4096,48,1.027203876
1024,40,4096,56,1.086492629
1024,40,4096,64,1.150450437
1024,48,4096,48,0.947098516
1024,48,4096,56,1.014117827
1024,48,4096,64,1.077321642
1024,56,4096,56,0.960070078
1024,56,4096,64,1.021027449
1024,64,4096,64,0.967251918
2048,5,2048,5,1
2048,5,2048,8,1.060606061
2048,5,2048,10,1.091287879
2048,5,2048,16,1.228632479
2048,5,2048,20,1.272727273
2048,5,2048,24,1.34469697
2048,5,2048,32,1.499854312
2048,5,2048,40,1.640637141
2048,5,2048,48,1.772209272
2048,5,2048,56,1.891858142
2048,5,2048,64,2.007393648
2048,8,2048,8,1
2048,8,2048,10,1.034129089
2048,8,2048,16,1.158424908
2048,8,2048,20,1.201619433
2048,8,2048,24,1.278693529
2048,8,2048,32,1.424107143
2048,8,2048,40,1.556318681
