n1,r1,n2,r2,delta,ratio
512,1,512,20,0.54,1.228854887
512,1,512,20,0.56,1.208173425
512,1,512,20,0.58,1.230376689
512,1,512,20,0.6,1.237657024
512,1,512,20,0.62,1.245024031
512,1,512,20,0.64,1.162022428
512,1,512,20,0.66,1.17507886
512,1,512,20,0.68,1.192290575
512,1,512,20,0.7,1.218044123
512,1,512,20,0.72,1.246034602
512,1,512,20,0.74,1.307805782
512,1,512,20,0.76,1.245276673
512,1,512,20,0.78,1.30740787
512,1,512,20,0.8,1.275455172
512,1,512,20,0.82,1.323856599
512,1,512,20,0.84,1.349462515
512,1,512,20,0.86,1.263839054
512,1,512,20,0.88,1.317572915
512,1,512,20,0.9,1.280271576
512,1,512,20,0.92,1.326447581
512,1,512,20,0.94,1.350807637
512,1,512,20,0.96,1.264428169
512,1,512,20,0.98,1.317893153
512,1,512,20,1,1.376079192
512,1,512,32,0.02,0.221563339
512,1,512,32,0.04,0.255650007
512,1,512,32,0.06,0.319051209
512,1,512,32,0.08,0.548664246
512,1,512,32,0.1,0.80003414
512,1,512,32,0.12,0.894044596
512,1,512,32,0.14,0.987681979
512,1,512,32,0.16,1.055148343
512,1,512,32,0.18,1.100073502
512,1,512,32,0.2,1.132018231
512,1,512,32,0.22,1.182381283
512,1,512,32,0.24,1.141221632
512,1,512,32,0.26,1.170772685
512,1,512,32,0.28,1.211141909
512,1,512,32,0.3,1.280473079
512,1,512,32,0.32,1.253228971
512,1,512,32,0.34,1.297915421
512,1,512,32,0.36,1.343905605
512,1,512,32,0.38,1.372483817
512,1,512,32,0.4,1.394495597
512,1,512,32,0.42,1.315255727
512,1,512,32,0.44,1.354300542
512,1,512,32,0.46,1.383996175
512,1,512,32,0.48,1.421532946
512,1,512,32,0.5,1.407838142
512,1,512,32,0.52,1.433882584
512,1,512,32,0.54,1.460857183
512,1,512,32,0.56,1.42688376
512,1,512,32,0.58,1.443670628
512,1,512,32,0.6,1.452213058
512,1,512,32,0.62,1.464509326
512,1,512,32,0.64,1.368579705
512,1,512,32,0.66,1.384818746
512,1,512,32,0.68,1.40099109
512,1,512,32,0.7,1.430228019
512,1,512,32,0.72,1.466221268
512,1,512,32,0.74,1.540550937
512,1,512,32,0.76,1.467676419
512,1,512,32,0.78,1.541569543
512,1,512,32,0.8,1.503970286
512,1,512,32,0.82,1.572732955
512,1,512,32,0.84,1.609110625
512,1,512,32,0.86,1.509802519
512,1,512,32,0.88,1.575448201
512,1,512,32,0.9,1.531552835
512,1,512,32,0.92,1.587522707
512,1,512,32,0.94,1.620640465
512,1,512,32,0.96,1.515151892
512,1,512,32,0.98,1.582118037
512,1,512,32,1,1.654997414
512,1,512,40,0.02,0.03287289
512,1,512,40,0.04,0.154091671
512,1,512,40,0.06,0.289938888
512,1,512,40,0.08,0.512058476
512,1,512,40,0.1,0.783148258
512,1,512,40,0.12,0.850938234
512,1,512,40,0.14,0.929420827
512,1,512,40,0.16,1.00071011
512,1,512,40,0.18,1.089730292
512,1,512,40,0.2,1.171589794
512,1,512,40,0.22,1.226569702
512,1,512,40,0.24,1.207092515
512,1,512,40,0.26,1.237764934
512,1,512,40,0.28,1.275879037
512,1,512,40,0.3,1.337783691
512,1,512,40,0.32,1.315615017
512,1,512,40,0.34,1.3719916
512,1,512,40,0.36,1.422126041
512,1,512,40,0.38,1.458638926
512,1,512,40,0.4,1.489722019
512,1,512,40,0.42,1.412262936
512,1,512,40,0.44,1.458561835
512,1,512,40,0.46,1.479280043
512,1,512,40,0.48,1.51712209
512,1,512,40,0.5,1.503084549
512,1,512,40,0.52,1.539835366
512,1,512,40,0.54,1.572615569
512,1,512,40,0.56,1.541203393
512,1,512,40,0.58,1.562815857
512,1,512,40,0.6,1.573813915
512,1,512,40,0.62,1.584062379
512,1,512,40,0.64,1.475581843
512,1,512,40,0.66,1.490707066
512,1,512,40,0.68,1.533807482
512,1,512,40,0.7,1.582861897
512,1,512,40,0.72,1.627400662
512,1,512,40,0.74,1.712367772
512,1,512,40,0.76,1.632539344
512,1,512,40,0.78,1.71596485
512,1,512,40,0.8,1.674112048
512,1,512,40,0.82,1.737685924
512,1,512,40,0.84,1.775136051
512,1,512,40,0.86,1.664301776
512,1,512,40,0.88,1.735999193
512,1,512,40,0.9,1.683685533
512,1,512,40,0.92,1.742771304
512,1,512,40,0.94,1.777763229
512,1,512,40,0.96,1.661902033
512,1,512,40,0.98,1.731037996
512,1,512,40,1,1.806278789
512,1,512,64,0.02,0.667622798
512,1,512,64,0.04,0.256180841
512,1,512,64,0.06,0.285059409
